[2021-05-02 15:44:21] INFO|bookmark_manager_app.views.display|Retrieving user with name=favicon.ico
[2021-05-02 15:44:47] INFO|bookmark_manager_app.views.display|Retrieving user with name=user3
[2021-05-02 15:44:47] INFO|bookmark_manager_app.views.display|Created new group with name=group33
[2021-05-02 15:44:47] DEBUG|bookmark_manager_app.views.display|Rendering Groups page
[2021-05-02 15:44:48] INFO|bookmark_manager_app.views.display|Retrieving user with name=user3
[2021-05-02 15:44:48] INFO|bookmark_manager_app.views.display|Retrieving groups of user with username=user3
[2021-05-02 15:44:48] INFO|bookmark_manager_app.views.display|Retrieving bookmarks of user with username=user3
[2021-05-02 15:44:48] INFO|bookmark_manager_app.views.display|Retrieving tags of user with username=user3
[2021-05-02 15:44:48] INFO|bookmark_manager_app.views.display|Retrieving reminders of user with username=user3
[2021-05-02 15:44:48] DEBUG|bookmark_manager_app.views.display|Rendering Groups page
[2021-05-02 15:44:48] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
[2021-05-02 15:44:48] INFO|bookmark_manager_app.views.display|Retrieving user with name=favicon.ico
[2021-05-02 15:44:55] INFO|bookmark_manager_app.views.display|Retrieving user with name=user3
[2021-05-02 15:44:55] ERROR|bookmark_manager_app.views.display|Duplicate group name group33
[2021-05-02 15:44:55] INFO|bookmark_manager_app.views.display|Retrieving user with name=user3
[2021-05-02 15:44:55] INFO|bookmark_manager_app.views.display|Retrieving groups of user with username=user3
[2021-05-02 15:44:55] INFO|bookmark_manager_app.views.display|Retrieving bookmarks of user with username=user3
[2021-05-02 15:44:55] INFO|bookmark_manager_app.views.display|Retrieving tags of user with username=user3
[2021-05-02 15:44:55] INFO|bookmark_manager_app.views.display|Retrieving reminders of user with username=user3
[2021-05-02 15:44:55] DEBUG|bookmark_manager_app.views.display|Rendering Groups page
[2021-05-02 15:44:55] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
[2021-05-02 15:44:55] INFO|bookmark_manager_app.views.display|Retrieving user with name=favicon.ico
[2021-05-02 15:45:11] INFO|bookmark_manager_app.views.display|Retrieving group with name=group33
[2021-05-02 15:45:12] INFO|bookmark_manager_app.views.display|Deleted group with name=group33
[2021-05-02 15:45:12] DEBUG|bookmark_manager_app.views.display|Redirecting to Groups page
[2021-05-02 15:45:12] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
[2021-05-02 15:45:12] INFO|bookmark_manager_app.views.display|Retrieving user with name=user3
[2021-05-02 15:45:12] INFO|bookmark_manager_app.views.display|Retrieving groups of user with username=user3
[2021-05-02 15:45:12] INFO|bookmark_manager_app.views.display|Retrieving bookmarks of user with username=user3
[2021-05-02 15:45:12] INFO|bookmark_manager_app.views.display|Retrieving tags of user with username=user3
[2021-05-02 15:45:12] INFO|bookmark_manager_app.views.display|Retrieving reminders of user with username=user3
[2021-05-02 15:45:12] DEBUG|bookmark_manager_app.views.display|Rendering Groups page
[2021-05-02 15:45:12] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
[2021-05-02 15:45:12] INFO|bookmark_manager_app.views.display|Retrieving user with name=favicon.ico
[2021-05-02 15:46:01] INFO|bookmark_manager_app.views.display|Retrieving user with name=user3
[2021-05-02 15:46:02] INFO|bookmark_manager_app.views.display|Created new group with name=group33
[2021-05-02 15:46:02] DEBUG|bookmark_manager_app.views.display|Rendering Groups page
[2021-05-02 15:46:02] INFO|bookmark_manager_app.views.display|Retrieving user with name=user3
[2021-05-02 15:46:02] INFO|bookmark_manager_app.views.display|Retrieving groups of user with username=user3
[2021-05-02 15:46:02] INFO|bookmark_manager_app.views.display|Retrieving bookmarks of user with username=user3
[2021-05-02 15:46:02] INFO|bookmark_manager_app.views.display|Retrieving tags of user with username=user3
[2021-05-02 15:46:02] INFO|bookmark_manager_app.views.display|Retrieving reminders of user with username=user3
[2021-05-02 15:46:02] DEBUG|bookmark_manager_app.views.display|Rendering Groups page
[2021-05-02 15:46:02] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
[2021-05-02 15:46:02] INFO|bookmark_manager_app.views.display|Retrieving user with name=favicon.ico
[2021-05-02 15:46:06] INFO|bookmark_manager_app.views.display|Retrieving user with name=user3
[2021-05-02 15:46:06] ERROR|bookmark_manager_app.views.display|Duplicate group name group33
[2021-05-02 15:46:06] INFO|bookmark_manager_app.views.display|Retrieving user with name=user3
[2021-05-02 15:46:06] INFO|bookmark_manager_app.views.display|Retrieving groups of user with username=user3
[2021-05-02 15:46:06] INFO|bookmark_manager_app.views.display|Retrieving bookmarks of user with username=user3
[2021-05-02 15:46:06] INFO|bookmark_manager_app.views.display|Retrieving tags of user with username=user3
[2021-05-02 15:46:06] INFO|bookmark_manager_app.views.display|Retrieving reminders of user with username=user3
[2021-05-02 15:46:06] DEBUG|bookmark_manager_app.views.display|Rendering Groups page
[2021-05-02 15:46:06] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
[2021-05-02 15:46:06] INFO|bookmark_manager_app.views.display|Retrieving user with name=favicon.ico
[2021-05-02 15:46:21] INFO|bookmark_manager_app.views.display|Retrieving user with name=user3
[2021-05-02 15:46:21] ERROR|bookmark_manager_app.views.display|Duplicate group name group33
[2021-05-02 15:46:21] INFO|bookmark_manager_app.views.display|Retrieving user with name=user3
[2021-05-02 15:46:21] INFO|bookmark_manager_app.views.display|Retrieving groups of user with username=user3
[2021-05-02 15:46:21] INFO|bookmark_manager_app.views.display|Retrieving bookmarks of user with username=user3
[2021-05-02 15:46:21] INFO|bookmark_manager_app.views.display|Retrieving tags of user with username=user3
[2021-05-02 15:46:21] INFO|bookmark_manager_app.views.display|Retrieving reminders of user with username=user3
[2021-05-02 15:46:21] DEBUG|bookmark_manager_app.views.display|Rendering Groups page
[2021-05-02 15:46:21] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
[2021-05-02 15:46:21] INFO|bookmark_manager_app.views.display|Retrieving user with name=favicon.ico
[2021-05-02 15:46:26] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
[2021-05-02 15:46:26] INFO|bookmark_manager_app.views.display|Retrieving user with name=user3
[2021-05-02 15:46:26] INFO|bookmark_manager_app.views.display|Retrieving groups of user with username=user3
[2021-05-02 15:46:26] INFO|bookmark_manager_app.views.display|Retrieving bookmarks of user with username=user3
[2021-05-02 15:46:26] INFO|bookmark_manager_app.views.display|Retrieving tags of user with username=user3
[2021-05-02 15:46:26] INFO|bookmark_manager_app.views.display|Retrieving reminders of user with username=user3
[2021-05-02 15:46:26] DEBUG|bookmark_manager_app.views.display|Rendering Groups page
[2021-05-02 15:46:27] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
[2021-05-02 15:46:27] INFO|bookmark_manager_app.views.display|Retrieving user with name=favicon.ico
[2021-05-02 15:46:30] INFO|bookmark_manager_app.views.display|Retrieving group with name=group33
[2021-05-02 15:46:30] INFO|bookmark_manager_app.views.display|Deleted group with name=group33
[2021-05-02 15:46:30] DEBUG|bookmark_manager_app.views.display|Redirecting to Groups page
[2021-05-02 15:46:30] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
[2021-05-02 15:46:30] INFO|bookmark_manager_app.views.display|Retrieving user with name=user3
[2021-05-02 15:46:30] INFO|bookmark_manager_app.views.display|Retrieving groups of user with username=user3
[2021-05-02 15:46:30] INFO|bookmark_manager_app.views.display|Retrieving bookmarks of user with username=user3
[2021-05-02 15:46:30] INFO|bookmark_manager_app.views.display|Retrieving tags of user with username=user3
[2021-05-02 15:46:30] INFO|bookmark_manager_app.views.display|Retrieving reminders of user with username=user3
[2021-05-02 15:46:30] DEBUG|bookmark_manager_app.views.display|Rendering Groups page
[2021-05-02 15:46:30] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
[2021-05-02 15:46:30] INFO|bookmark_manager_app.views.display|Retrieving user with name=favicon.ico
[2021-05-02 15:54:00] INFO|bookmark_manager_app.views.index|User with username=user3 successfully logged in
[2021-05-02 15:54:00] DEBUG|bookmark_manager_app.views.index|Redirecting to groups page
[2021-05-02 15:54:00] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
[2021-05-02 15:54:00] INFO|bookmark_manager_app.views.display|Retrieving user with name=user3
[2021-05-02 15:54:00] INFO|bookmark_manager_app.views.display|Retrieving groups of user with username=user3
[2021-05-02 15:54:00] INFO|bookmark_manager_app.views.display|Retrieving bookmarks of user with username=user3
[2021-05-02 15:54:00] INFO|bookmark_manager_app.views.display|Retrieving tags of user with username=user3
[2021-05-02 15:54:00] INFO|bookmark_manager_app.views.display|Retrieving reminders of user with username=user3
[2021-05-02 15:54:00] DEBUG|bookmark_manager_app.views.display|Rendering Groups page
[2021-05-02 15:54:01] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
[2021-05-02 15:54:01] INFO|bookmark_manager_app.views.display|Retrieving user with name=favicon.ico
[2021-05-02 15:54:24] INFO|bookmark_manager_app.views.index|User with username=user3 successfully logged in
[2021-05-02 15:54:24] DEBUG|bookmark_manager_app.views.index|Redirecting to groups page
[2021-05-02 15:54:24] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
[2021-05-02 15:54:24] INFO|bookmark_manager_app.views.display|Retrieving user with name=user3
[2021-05-02 15:54:24] INFO|bookmark_manager_app.views.display|Retrieving groups of user with username=user3
[2021-05-02 15:54:24] INFO|bookmark_manager_app.views.display|Retrieving bookmarks of user with username=user3
[2021-05-02 15:54:24] INFO|bookmark_manager_app.views.display|Retrieving tags of user with username=user3
[2021-05-02 15:54:24] INFO|bookmark_manager_app.views.display|Retrieving reminders of user with username=user3
[2021-05-02 15:54:24] DEBUG|bookmark_manager_app.views.display|Rendering Groups page
[2021-05-02 15:54:25] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
[2021-05-02 15:54:25] INFO|bookmark_manager_app.views.display|Retrieving user with name=favicon.ico
[2021-05-02 15:54:43] INFO|bookmark_manager_app.views.index|User with username=user3 successfully logged in
[2021-05-02 15:54:43] DEBUG|bookmark_manager_app.views.index|Redirecting to groups page
[2021-05-02 15:54:43] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
[2021-05-02 15:54:43] INFO|bookmark_manager_app.views.display|Retrieving user with name=user3
[2021-05-02 15:54:43] INFO|bookmark_manager_app.views.display|Retrieving groups of user with username=user3
[2021-05-02 15:54:43] INFO|bookmark_manager_app.views.display|Retrieving bookmarks of user with username=user3
[2021-05-02 15:54:43] INFO|bookmark_manager_app.views.display|Retrieving tags of user with username=user3
[2021-05-02 15:54:43] INFO|bookmark_manager_app.views.display|Retrieving reminders of user with username=user3
[2021-05-02 15:54:43] DEBUG|bookmark_manager_app.views.display|Rendering Groups page
[2021-05-02 15:54:43] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
[2021-05-02 15:54:43] INFO|bookmark_manager_app.views.display|Retrieving user with name=favicon.ico
[2021-05-02 15:54:47] INFO|bookmark_manager_app.views.display|Retrieving user with name=user3
